id,object_id,accession_number,accession_year,title,object_name,department,culture,period,dynasty,reign,object_date,object_begin_date,object_end_date,medium,dimensions,geography_type,city,state,county,country,region,subregion,locale,classification,credit_line,repository,gallery_number,is_public_domain,rights_and_reproduction,object_url,object_wikidata_url,primary_image,primary_image_small,image_url,image_file,tags,metadata_date
met_309900,309900,"1972.63a, b",1972,Saltcellar with Portuguese Figures,Saltcellar,The Michael C. Rockefeller Wing,Edo (Bini-Portuguese),,,,ca. 1525–1600,1520,1600,Ivory,H. 7 1/2 × W. 3 × D. 3 1/4 in. (19.1 × 7.6 × 8.3 cm),,,,,Nigeria,Court of Benin(?),,,Bone/Ivory-Containers,"Louis V. Bell and Rogers Funds, 1972","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/309900,https://www.wikidata.org/wiki/Q116282567,https://images.metmuseum.org/CRDImages/ao/original/DT10918.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT10918.jpg,https://images.metmuseum.org/CRDImages/ao/original/DT10918.jpg,1972.63a_b.jpg,Spears; Swords; Men,2025-12-03T04:55:40.143Z
met_309910,309910,1974.5,1974,Ukhurhe (rattle staff) with Ọ́bà Ákẹ́nzùa I,Ritual staff,The Michael C. Rockefeller Wing,Edo peoples,,,,1725–50,1725,1750,"Brass, copper, iron",H. 63 1/2 × W. 2 × (approx.) D. 3 in. (161.3 × 5.1 × 7.6 cm),,Court of Benin,,,Nigeria,,,,Metal-Implements,"Ann and George Blumenthal Fund, 1974","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/309910,,https://images.metmuseum.org/CRDImages/ao/original/DP231458.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP231458.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP231458.jpg,1974.5.jpg,Elephants,2025-12-20T04:50:39.43Z
met_310257,310257,1977.173,1977,Warrior Figure,Male figure,The Michael C. Rockefeller Wing,Lower Niger Bronze Industry,,,,1455–1640,1455,1640,Bronze,H. 12 1/2 × W. 8 3/4 × D. 6 3/4 in. (31.8 × 22.2 × 17.1 cm),,,,,Nigeria,,,,Metal-Sculpture,"Purchase, Edith Perry Chapman Fund, Rogers, Pfeiffer, Fletcher, and Dodge Funds; Gift of Humanities Fund Inc., by exchange; Mrs. Donald M. Oenslager Gift, in memory of her husband; Geert C. E. Prins Gift, and funds from various donors, 1977","Metropolitan Museum of Art, New York, NY",343,True,,https://www.metmuseum.org/art/collection/search/310257,,https://images.metmuseum.org/CRDImages/ao/original/DT5129.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT5129.jpg,https://images.metmuseum.org/CRDImages/ao/original/DT5129.jpg,1977.173.jpg,Shields; Swords; Men,2025-05-31T04:50:53.377Z
met_310280,310280,1977.187.34,1977,Plaque Fragment with Warrior Chief,Plaque fragment,The Michael C. Rockefeller Wing,Edo peoples,,,,ca. 1540–70,1540,1570,Brass,H. 17 3/4 × W. 6 1/4 × (approx.) D. 2 in. (45.1 × 15.9 × 5.1 cm),,Court of Benin,,,Nigeria,,,,Metal-Sculpture,"Bequest of Alice K. Bache, 1977","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/310280,,https://images.metmuseum.org/CRDImages/ao/original/1977.187.34.JPG,https://images.metmuseum.org/CRDImages/ao/web-large/1977.187.34.JPG,https://images.metmuseum.org/CRDImages/ao/original/1977.187.34.JPG,1977.187.34.JPG,Men; Warriors,2025-05-31T04:50:53.377Z
met_310281,310281,1977.187.35,1977,Figure: Male Attendant,Male figure,The Michael C. Rockefeller Wing,Edo peoples,,,,18th century,1700,1800,"Bronze, copper",H. 7 x W. 2 in. (17.8 x 5.1 cm),,Court of Benin,,,Nigeria,,,,Metal-Sculpture,"Bequest of Alice K. Bache, 1977","Metropolitan Museum of Art, New York, NY",,True,,https://www.metmuseum.org/art/collection/search/310281,,https://images.metmuseum.org/CRDImages/ao/original/1977.187.35.JPG,https://images.metmuseum.org/CRDImages/ao/web-large/1977.187.35.JPG,https://images.metmuseum.org/CRDImages/ao/original/1977.187.35.JPG,1977.187.35.JPG,Men,2026-01-10T04:49:19.703Z
met_310282,310282,1977.187.36,1977,Head of a Queen Mother (Iyoba),Head,The Michael C. Rockefeller Wing,Edo peoples,,,,1750–1800,1750,1800,Brass,H. 17 × W. 8 7/8 × D. 10 1/2 in. (43.2 × 22.5 × 26.7 cm),,Court of Benin,,,Nigeria,,,,Metal-Sculpture,"Bequest of Alice K. Bache, 1977","Metropolitan Museum of Art, New York, NY",,True,,https://www.metmuseum.org/art/collection/search/310282,,https://images.metmuseum.org/CRDImages/ao/original/DP104851.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP104851.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP104851.jpg,1977.187.36.jpg,Heads; Women,2026-01-10T04:49:19.703Z
met_310283,310283,1977.187.37,1977,Ùhúnmwèlaò (head of an ọ́bà),Head,The Michael C. Rockefeller Wing,Edo peoples,,,,19th century,1800,1897,"Brass, iron",H. 13 1/4 × W. 10 3/4 × D. 11 1/8 in. (33.7 × 27.3 × 28.3 cm),,Court of Benin,,,Nigeria,,,,Metal-Sculpture,"Bequest of Alice K. Bache, 1977","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/310283,,https://images.metmuseum.org/CRDImages/ao/original/DP-25381-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-25381-001.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP-25381-001.jpg,1977.187.37.jpg,Heads,2026-04-01T04:56:50.163Z
met_310745,310745,1978.412.302,1978,Female figure,Female figure,The Michael C. Rockefeller Wing,Edo peoples,,,,18th century,1700,1800,"Ivory, iron",H. 13 x W. 3 7/8 x D. 3 5/8 in. (33 x 9.9 x 9.2 cm),,Court of Benin,,,Nigeria,,,,Bone/Ivory-Sculpture,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1972","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/310745,,https://images.metmuseum.org/CRDImages/ao/original/DT5117.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT5117.jpg,https://images.metmuseum.org/CRDImages/ao/original/DT5117.jpg,1978.412.302.jpg,Female Nudes,2026-04-01T04:56:50.163Z
met_310747,310747,1978.412.304,1978,Fragment of a leopard head,Head,The Michael C. Rockefeller Wing,Edo peoples,,,,early 17th century (?),1600,1700,"Brass, iron",H. 8 1/4 in. × W. 6 in. × D. 7 in. (21 × 15.2 × 17.8 cm),,Court of Benin,,,Nigeria,,,,Metal-Sculpture,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/310747,,https://images.metmuseum.org/CRDImages/ao/original/DP-25639-001.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-25639-001.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP-25639-001.jpg,1978.412.304.jpg,Leopards,2026-04-01T04:56:50.163Z
met_310752,310752,1978.412.309,1978,Plaque with equestrian ọ́bà (king) and attendants,Plaque,The Michael C. Rockefeller Wing,Edo peoples,,,,ca. 1540–70,1540,1570,Brass,H. 19 7/16  x  W. 16 1/2  x  D. 4 1/2 in. (49.5 x 41.9 x 11.4 cm),,Court of Benin,,,Nigeria,,,,Metal-Sculpture,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1965","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/310752,,https://images.metmuseum.org/CRDImages/ao/original/DP295360.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP295360.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP295360.jpg,1978.412.309.jpg,Kings; Men; Horses,2025-12-20T04:50:39.43Z
met_310753,310753,1978.412.310,1978,Horn Player,Figure,The Michael C. Rockefeller Wing,Edo,,,,1550–1680,1550,1680,"Brass, iron",H. 24 3/4 × W. 11 1/2 × D. 6 3/4 in. (62.9 × 29.2 × 17.2 cm),,Court of Benin,,,Nigeria,,,,Metal-Sculpture,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1972","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/310753,https://www.wikidata.org/wiki/Q116282572,https://images.metmuseum.org/CRDImages/ao/original/DT10214.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT10214.jpg,https://images.metmuseum.org/CRDImages/ao/original/DT10214.jpg,1978.412.310.jpg,Men; Musicians,2026-04-01T04:56:50.163Z
met_310763,310763,1978.412.320,1978,Plaque with Ìyàsẹ́ (Royal Commander) and Attendant,Plaque,The Michael C. Rockefeller Wing,Edo peoples,,,,ca. 1540–70,1540,1570,Brass,H. 16 in. × W. 7 1/4 in. × D. 2 1/2 in. (40.6 × 18.4 × 6.4 cm),,Court of Benin,,,Nigeria,,,,Metal-Sculpture,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1972","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/310763,,https://images.metmuseum.org/CRDImages/ao/original/1978.412.320.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/1978.412.320.jpg,https://images.metmuseum.org/CRDImages/ao/original/1978.412.320.jpg,1978.412.320.jpg,Men,2025-12-20T04:50:39.43Z
met_310764,310764,1978.412.321,1978,Leopard,Leopard figure,The Michael C. Rockefeller Wing,Edo peoples,,,,1550–1680,1550,1680,"Brass, iron",H. 15 1/2 in. × W. 5 in. × D. 15 1/2 in. (39.4 × 12.7 × 39.4 cm),,,,,Nigeria,"Igun-Eronmwen guild, Court of Benin",,,Metal-Sculpture,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1972","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/310764,https://www.wikidata.org/wiki/Q116282571,https://images.metmuseum.org/CRDImages/ao/original/DT9712.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DT9712.jpg,https://images.metmuseum.org/CRDImages/ao/original/DT9712.jpg,1978.412.321.jpg,Leopards,2025-12-20T04:50:39.43Z
met_318622,318622,1978.412.323,1978,Pendant mask of Ìyọ́bà Idià,Pendant mask,The Michael C. Rockefeller Wing,Edo peoples,,,,16th century,1500,1600,"Ivory, iron, brass, coal, traces of iron oxides",H. 9 3/8 x W. 5 x D. 2 1/2 in. (23.8 x 12.7 x 6.4 cm),,Court of Benin,,,Nigeria,,,,Bone/Ivory-Sculpture,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1972","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/318622,https://www.wikidata.org/wiki/Q56379611,https://images.metmuseum.org/CRDImages/ao/original/DP231460.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP231460.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP231460.jpg,1978.412.323.jpg,Portraits; Women,2026-01-23T04:52:29.993Z
met_310766,310766,1978.412.324,1978,Ùhúnmwèlaò (head of an ọ́bà),Head,The Michael C. Rockefeller Wing,Edo peoples,,,,Early 15th–mid-16th century,1430,1570,"Brass, iron",H. 8 1/2 × W. 7 3/4 × D. 8 1/8 in. (21.6 × 19.7 × 20.6 cm),,Court of Benin,,,Nigeria,,,,Metal-Sculpture,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1972","Metropolitan Museum of Art, New York, NY",342,True,,https://www.metmuseum.org/art/collection/search/310766,,https://images.metmuseum.org/CRDImages/ao/original/DP-14786-002.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14786-002.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP-14786-002.jpg,1978.412.324.jpg,Heads,2026-04-01T04:56:50.163Z
met_310776,310776,"1978.412.334a, b",1978,Vessel: Ram's Head,Vessel,The Michael C. Rockefeller Wing,Edo peoples,,,,18th–19th century,1700,1800,Wood,H. 6 9/16 x W. 4 1/4 x D.11 13/16 in. (16.7 x 10.8 x 30 cm),,Court of Benin,,,Nigeria,,,,Wood-Containers,"The Michael C. Rockefeller Memorial Collection, Gift of Mr. and Mrs. Morton Lipkin, 1958","Metropolitan Museum of Art, New York, NY",,True,,https://www.metmuseum.org/art/collection/search/310776,,"https://images.metmuseum.org/CRDImages/ao/original/1978.412.334a,b_a.JPG","https://images.metmuseum.org/CRDImages/ao/web-large/1978.412.334a,b_a.JPG","https://images.metmuseum.org/CRDImages/ao/original/1978.412.334a,b_a.JPG",1978.412.334a_b.JPG,Rams,2026-01-10T04:49:19.703Z
met_310782,310782,1978.412.340,1978,Bracelet,Bracelet,The Michael C. Rockefeller Wing,Edo peoples,,,,1550–1680 (?),1550,1680,"Ivory, copper (?)",H. 5 × W. 3 1/2 × D. 3 1/2 in. (12.7 × 8.9 × 8.9 cm),,Court of Benin,,,Nigeria,,,,Bone/Ivory-Ornaments,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964","Metropolitan Museum of Art, New York, NY",,True,,https://www.metmuseum.org/art/collection/search/310782,,https://images.metmuseum.org/CRDImages/ao/original/DP-14786-023.jpg,https://images.metmuseum.org/CRDImages/ao/web-large/DP-14786-023.jpg,https://images.metmuseum.org/CRDImages/ao/original/DP-14786-023.jpg,1978.412.340.jpg,Heads; Fish,2025-01-30T04:54:21.21Z
